,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude
540,568,23-627,2023-01-13 18:30:00+00:00,2023-01-14 17:29:08+00:00,NEW WESTMINSTER,BC,V3L,300 Block CEDAR ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.23006849999999,-122.8931791
541,570,23-646,2023-01-12 23:46:00+00:00,2023-01-14 17:29:08+00:00,NEW WESTMINSTER,BC,V3L 3R2,400 Block ROUSSEAU ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2280886,-122.8863452
542,571,23-616,2023-01-13 14:28:00+00:00,2023-01-14 17:29:08+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2225852,-122.914627
543,572,23-639,2023-01-13 15:05:00+00:00,2023-01-14 17:29:08+00:00,NEW WESTMINSTER,BC,V3M 4K1,800 Block 12TH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2104913,-122.9345043
544,573,23-642,2023-01-13 15:02:00+00:00,2023-01-14 17:29:08+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2225852,-122.914627
545,574,23-641,2023-01-13 20:36:00+00:00,2023-01-14 17:29:08+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2225852,-122.914627
546,575,23-656,2023-01-11 20:01:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3L 3B4,500 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.21176699999999,-122.9188433
547,576,23-543,2023-01-12 14:06:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438
548,577,23-593,2023-01-02 23:00:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438
549,578,23-548,2023-01-12 18:37:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3M 2G6,1600 Block NANAIMO ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.20450899999999,-122.9379653
550,579,23-598,2023-01-11 22:54:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3M 5E3,1100 Block EWEN AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.1848922,-122.949372
551,580,23-552,2023-01-11 18:58:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438
552,581,23-569,2023-01-08 05:55:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3M 5G5,600 Block BOYD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.19325329999999,-122.9404473
553,582,23-80005,2023-01-11 04:24:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3L,300 Block MCBRIDE BLVD,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2160609,-122.9039672
554,583,23-523,2023-01-12 02:27:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405
555,584,23-564,2023-01-12 18:24:00+00:00,2023-01-13 17:37:15+00:00,NEW WESTMINSTER,BC,V3M 0G3,800 Block CARNARVON ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.200803,-122.9134438
